iata,icao,type,name,city,iso_region,region_name,iso_country,country,lat,lon,importance
UTK,03N,small_airport,Utirik Airport,Utirik Island,MH-UTI,Utirik,MH,Marshall Islands,11.222219,169.851429,15
OCA,07FA,medium_airport,Ocean Reef Club Airport,Key Largo,US-FL,Florida,US,United States,25.325399,-80.274803,20
NUP,16A,small_airport,Nunapitchuk Airport,Nunapitchuk,US-AK,Alaska,US,United States,60.905591,-162.440454,15
BYW,38WA,small_airport,Blakely Island Airport,Blakely Island,US-WA,Washington,US,United States,48.579162,-122.823844,15
ATT,4A2,small_airport,Atmautluak Airport,Atmautluak,US-AK,Alaska,US,United States,60.866699,-162.272996,15
PDB,4K0,small_airport,Pedro Bay Airport,Pedro Bay,US-AK,Alaska,US,United States,59.796925,-154.129994,15
KOZ,4K5,small_airport,Ouzinkie Airport,Ouzinkie,US-AK,Alaska,US,United States,57.942094,-152.464314,15
TNK,4KA,small_airport,Tununak Airport,Tununak,US-AK,Alaska,US,United States,60.569638,-165.246649,15
MNT,51Z,small_airport,Minto Al Wright Airport,Minto,US-AK,Alaska,US,United States,65.147991,-149.368658,15
WKK,5A8,medium_airport,Aleknagik / New Airport,Aleknagik,US-AK,Alaska,US,United States,59.2826004028,-158.617996216,25
CWS,78WA,small_airport,Center Island Airport,Center Island,US-WA,Washington,US,United States,48.490046,-122.831612,15
TEK,7KA,small_airport,Tatitlek Airport,Tatitlek,US-AK,Alaska,US,United States,60.871449,-146.690297,15
SSW,7WA5,small_airport,Stuart Island Airpark,Friday Harbor,US-WA,Washington,US,United States,48.673379,-123.175439,15
WDN,90WA,small_airport,Waldron Airstrip,Eastsound,US-WA,Washington,US,United States,48.71141,-123.018208,15
CHU,9A3,small_airport,Chuathbaluk Airport,Chuathbaluk,US-AK,Alaska,US,United States,61.579102,-159.216003,15
WTL,A61,small_airport,Tuntutuliak Airport,Tuntutuliak,US-AK,Alaska,US,United States,60.351243,-162.654476,15
TWA,A63,small_airport,Twin Hills Airport,Twin Hills,US-AK,Alaska,US,United States,59.074713,-160.274992,15
KCQ,A79,small_airport,Chignik Lake Airport,Chignik Lake,US-AK,Alaska,US,United States,56.255001,-158.774994,15
BBQ,AG-0001,medium_airport,Burton-Nibbs International Airport,Codrington,AG-10,Barbuda Dependency,AG,Antigua and Barbuda,17.621194,-61.798347,25
AKS,AGGA,small_airport,Gwaunaru'u Airport,Auki,SB-ML,Malaita Province,SB,Solomon Islands,-8.70257,160.682007,15
BNY,AGGB,small_airport,Bellona/Anua Airport,Anua,SB-RB,Rennell and Bellona Province,SB,Solomon Islands,-11.302222222200001,159.798333333,15
CHY,AGGC,small_airport,Choiseul Bay Airport,Choiseul Bay,SB-CH,Choiseul Province,SB,Solomon Islands,-6.711944,156.396111,15
BAS,AGGE,small_airport,Ballalae Airport,Ballalae,SB-WE,Western Province,SB,Solomon Islands,-6.990745,155.886656,15
FRE,AGGF,small_airport,Fera/Maringe Airport,Fera Island,SB-IS,Isabel Province,SB,Solomon Islands,-8.1075,159.576996,15
HIR,AGGH,large_airport,Honiara International Airport,Honiara,SB-GU,Guadalcanal Province,SB,Solomon Islands,-9.428,160.054993,35
IRA,AGGK,small_airport,Ngorangora Airport,Kirakira,SB-MK,Makira-Ulawa Province,SB,Solomon Islands,-10.449700355500001,161.897994995,15
SCZ,AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB-TE,Temotu Province,SB,Solomon Islands,-10.7203,165.794998,15
MUA,AGGM,medium_airport,Munda Airport,Munda,SB-WE,Western Province,SB,Solomon Islands,-8.32797,157.263,25
GZO,AGGN,small_airport,Nusatupe Airport,Gizo,SB-WE,Western Province,SB,Solomon Islands,-8.09778022766,156.863998413,15
MNY,AGGO,small_airport,Mono Airport,Stirling Island,SB-WE,Western Province,SB,Solomon Islands,-7.41694,155.565002,15
RNL,AGGR,small_airport,Rennell/Tingoa Airport,Rennell Island,SB-RB,Rennell and Bellona Province,SB,Solomon Islands,-11.55,160.062778,15
NNB,AGGT,small_airport,Santa Ana Airport,Santa Ana Island,SB-MK,Makira-Ulawa Province,SB,Solomon Islands,-10.847994,162.454108,15
RUS,AGGU,small_airport,Marau Airport,Marau,SB-GU,Guadalcanal Province,SB,Solomon Islands,-9.86167,160.824997,15
VAO,AGGV,small_airport,Suavanao Airport,Suavanao,SB-IS,Isabel Province,SB,Solomon Islands,-7.58556,158.731003,15
XYA,AGGY,small_airport,Yandina Airport,Yandina,SB-CE,Central Province,SB,Solomon Islands,-9.092816,159.21841,15
KGE,AGKG,small_airport,Kaghau Airport,Kagau Island,SB-CH,Choiseul Province,SB,Solomon Islands,-7.3305,157.585,15
MHM,AGOB,small_airport,Manaoba Airport,Manaoba,SB-ML,Malaita Province,SB,Solomon Islands,-8.325008,160.80051,15
GTA,AGOK,small_airport,Gatokae Aerodrome,Gatokae,SB-WE,Western Province,SB,Solomon Islands,-8.738358,158.202836,15
RBV,AGRM,small_airport,Ramata Airport,Ramata,SB-WE,Western Province,SB,Solomon Islands,-8.168060302734375,157.64300537109375,15
INU,ANYN,medium_airport,Nauru International Airport,Yaren,NR-14,Yaren,NR,Nauru,-0.547893,166.919525,25
WFR,AT98,medium_airport,[Duplicate] Wolf's Fang Runway,Queen Maud Island,AQ-U-A,(unassigned),AQ,Antarctica,-71.5264,8.799459,20
GYZ,AU-0456,small_airport,Gruyere Airport,Cosmo Newbery,AU-WA,Western Australia,AU,Australia,-28.034548,123.81506,15
AXF,AXF,medium_airport,Alxa Left Banner Bayanhot Airport,Bayanhot,CN-15,Inner Mongolia Autonomous Region,CN,China,38.748317,105.58416,25
VMU,AYBA,medium_airport,Baimuru Airport,Baimuru,PG-GPK,Gulf Province,PG,Papua New Guinea,-7.496955,144.821756,25
BUA,AYBK,medium_airport,Buka Airport,Buka Island,PG-NSB,Autonomous Region of Bougainville,PG,Papua New Guinea,-5.422299,154.672698,25
OPU,AYBM,medium_airport,Balimo Airport,Balimo,PG-WPD,Western Province,PG,Papua New Guinea,-8.05000019073,142.932998657,25
CMU,AYCH,medium_airport,Chimbu Airport,Kundiawa,PG-CPK,Chimbu Province,PG,Papua New Guinea,-6.024290084838867,144.9709930419922,25
DAU,AYDU,medium_airport,Daru Airport,Daru,PG-WPD,Western Province,PG,Papua New Guinea,-9.08676,143.207993,25
BOT,AYET,small_airport,Bosset Airport,Bosset,PG-WPD,Western Province,PG,Papua New Guinea,-7.237257,141.1063222,15
GKA,AYGA,medium_airport,Goroka Airport,Goronka,PG-EHG,Eastern Highlands Province,PG,Papua New Guinea,-6.081689834590001,145.391998291,25
GUR,AYGN,medium_airport,Gurney Airport,Gurney,PG-MBA,Milne Bay Province,PG,Papua New Guinea,-10.3114995956,150.333999634,25
PNP,AYGR,medium_airport,Girua Airport,Popondetta,PG-NPP,Northern Province,PG,Papua New Guinea,-8.80453968048,148.309005737,25
